q1,q2,q3,q4,q5,q6,qw,qx,qy,qz,wx,wy,wz
-2.835649067628324e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,1.218058720879998e-19,1.0,1.242361291570109e-09,2.267965239877751e-09,6.068108882502497e-12,5.756123377352775e-13,4.1622251137308784e-12,-1.3279728324178846e-17
1.379182840932234e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,2.2428217800214167e-20,1.0,1.2423612158603758e-09,2.267963711221833e-09,6.068108877396847e-12,5.601941987475223e-13,-9.180663307394317e-13,6.711225012977881e-18
-7.52384259108364e-21,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,6.08155397430323e-20,1.0,1.2423605177664702e-09,2.2679651421299916e-09,6.068108887419603e-12,4.400332897468342e-13,2.7620562142571707e-13,1.1936212122620025e-17
5.756515922201083e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,-9.785562552676884e-21,1.0,1.2423617572357307e-09,2.2679635194593656e-09,6.068108879318455e-12,5.602063834452177e-13,-9.180710075539237e-13,6.917345513383621e-19
4.403586499451196e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,-2.0648678824628974e-20,1.0,1.2423619801408039e-09,2.26796392698486e-09,6.068108868309535e-12,1.9216833285172663e-12,1.2330249327076039e-12,8.890037698804751e-18
2.257628611642506e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,2.5892378266342617e-20,1.0,1.2423610734527082e-09,2.2679638797011095e-09,6.06810886085012e-12,-9.054352940219934e-13,-1.831103212950215e-12,-7.124929431413133e-18
2.8026298275200517e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,-1.9071800124655672e-20,1.0,1.242360208787942e-09,2.2679642597478733e-09,6.068108857708868e-12,-9.054179051538708e-13,-1.8311008537262877e-12,-6.639206858139624e-18
3.2393889755759714e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,-3.550532517058836e-20,1.0,1.242361136821256e-09,2.267964811447493e-09,6.068108851704939e-12,1.9218310714462676e-12,1.2330321560961568e-12,1.6377104221120655e-17
5.103584294795532e-20,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,2.6997043004485695e-20,1.0,1.242361584572672e-09,2.2679635072365035e-09,6.068108843841909e-12,5.601339413928601e-13,-9.180277574282216e-13,5.1118099681272705e-18
2.3891693009677204e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,7.241422396284851e-20,1.0,1.242361255095529e-09,2.2679642876113406e-09,6.0681088346821864e-12,4.400633629130127e-13,2.761869280455385e-13,-9.236045980315155e-20
3.3064266310566106e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,5.099377335542263e-20,1.0,1.2423607627179357e-09,2.2679644602717744e-09,6.068108817054892e-12,4.3999384907388353e-13,2.7615205316477713e-13,-1.393403066785757e-18
8.601052610282232e-20,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,-5.7075556882860904e-21,1.0,1.2423612047861063e-09,2.2679633994248323e-09,6.068108816457193e-12,-9.055096789646439e-13,-1.8310669572295683e-12,3.72545431758634e-19
1.5156605459716418e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,-2.586986872117934e-20,1.0,1.242362141932471e-09,2.2679641531774896e-09,6.068108815376639e-12,1.9218140572784157e-12,1.2330252241411471e-12,8.22043443707771e-18
3.757566924104308e-20,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,-5.654705851636885e-20,1.0,1.2423611258982526e-09,2.267964101414239e-09,6.068108798926398e-12,-9.055214056953413e-13,-1.831062176331668e-12,-1.3421975649208931e-17
-1.9714798396048281e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,-1.0590049289403378e-19,1.0,1.2423608948413257e-09,2.2679645052043717e-09,6.068108788046872e-12,-9.055471767473005e-13,-1.8310207441961676e-12,5.257526740109326e-18
-3.225619850337884e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,-9.392231062697383e-20,1.0,1.2423622463442603e-09,2.267964287174517e-09,6.068108781284688e-12,1.9217226998012767e-12,1.2330558454799449e-12,4.008525837406028e-18
-3.8539373041785562e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,-9.301465306854636e-20,1.0,1.2423611358101341e-09,2.267964676082737e-09,6.068108781195383e-12,4.4005382887278906e-13,2.761709200173028e-13,-2.8991430439336167e-18
